Id,X,Y,Rotation
1,0,0,0
1,2200,0,0
1,4400,0,0
1,6600,0,0
1,8800,0,0
1,11000,0,0
1,13200,0,0
1,15400,0,0
1,17600,0,0
1,19800,0,0
1,22000,0,0
1,24200,0,0
1,28600,0,0
1,30800,0,0
1,33000,0,0
1,35200,0,0
1,37400,0,0
1,0,1600,0
1,2200,1600,0
1,8800,1600,0
1,11000,1600,0
1,13200,1600,0
1,15400,1600,0
1,17600,1600,0
1,19800,1600,0
1,22000,1600,0
1,24200,1600,0
1,28600,1600,0
1,30800,1600,0
1,33000,1600,0
1,35200,1600,0
1,37400,1600,0
1,0,3200,0
1,2200,3200,0
1,6600,3200,0
1,8800,3200,0
1,11000,3200,0
1,13200,3200,0
1,15400,3200,0
1,19800,3200,0
1,22000,3200,0
1,24200,3200,0
1,26400,3200,0
1,30800,3200,0
1,33000,3200,0
1,35200,3200,0
1,37400,3200,0
1,0,4800,0
1,2200,4800,0
1,4400,4800,0
1,6600,4800,0
1,8800,4800,0
1,11000,4800,0
1,13200,4800,0
1,15400,4800,0
1,17600,4800,0
1,19800,4800,0
1,22000,4800,0
1,24200,4800,0
1,26400,4800,0
1,30800,4800,0
1,33000,4800,0
1,35200,4800,0
1,37400,4800,0
1,0,6400,0
1,2200,6400,0
1,4400,6400,0
1,6600,6400,0
1,8800,6400,0
1,11000,6400,0
1,13200,6400,0
1,15400,6400,0
1,17600,6400,0
1,19800,6400,0
1,22000,6400,0
1,24200,6400,0
1,26400,6400,0
1,28600,6400,0
1,33000,6400,0
1,35200,6400,0
1,37400,6400,0
1,0,8000,0
1,2200,8000,0
1,4400,8000,0
1,6600,8000,0
1,8800,8000,0
1,11000,8000,0
1,13200,8000,0
1,15400,8000,0
1,19800,8000,0
1,22000,8000,0
1,24200,8000,0
1,26400,8000,0
1,28600,8000,0
1,30800,8000,0
1,33000,8000,0
1,35200,8000,0
1,37400,8000,0
1,0,9600,0
1,2200,9600,0
1,4400,9600,0
1,6600,9600,0
1,8800,9600,0
1,11000,9600,0
1,13200,9600,0
1,17600,9600,0
1,19800,9600,0
1,22000,9600,0
1,24200,9600,0
1,26400,9600,0
1,28600,9600,0
1,30800,9600,0
1,33000,9600,0
1,35200,9600,0
1,37400,9600,0
1,0,11200,0
1,4400,11200,0
1,6600,11200,0
1,8800,11200,0
1,11000,11200,0
1,13200,11200,0
1,15400,11200,0
1,17600,11200,0
1,19800,11200,0
1,22000,11200,0
1,24200,11200,0
1,26400,11200,0
1,30800,11200,0
1,33000,11200,0
1,35200,11200,0
1,37400,11200,0
1,0,12800,0
1,4400,12800,0
1,6600,12800,0
1,8800,12800,0
1,11000,12800,0
1,13200,12800,0
1,17600,12800,0
1,19800,12800,0
1,26400,12800,0
1,28600,12800,0
1,30800,12800,0
1,33000,12800,0
1,35200,12800,0
1,37400,12800,0
1,0,14400,0
1,2200,14400,0
1,4400,14400,0
1,6600,14400,0
1,8800,14400,0
1,11000,14400,0
1,19800,14400,0
1,22000,14400,0
1,26400,14400,0
1,28600,14400,0
1,30800,14400,0
1,33000,14400,0
1,35200,14400,0
1,37400,14400,0
1,0,16000,0
1,2200,16000,0
1,4400,16000,0
1,6600,16000,0
1,8800,16000,0
1,11000,16000,0
1,13200,16000,0
1,15400,16000,0
1,17600,16000,0
1,19800,16000,0
1,22000,16000,0
1,24200,16000,0
1,26400,16000,0
1,28600,16000,0
1,30800,16000,0
1,33000,16000,0
1,37400,16000,0
1,0,17600,0
1,2200,17600,0
1,4400,17600,0
1,6600,17600,0
1,8800,17600,0
1,11000,17600,0
1,13200,17600,0
1,15400,17600,0
1,17600,17600,0
1,19800,17600,0
1,22000,17600,0
1,24200,17600,0
1,28600,17600,0
1,30800,17600,0
1,33000,17600,0
1,35200,17600,0
1,37400,17600,0
1,0,19200,0
1,2200,19200,0
1,4400,19200,0
1,6600,19200,0
1,8800,19200,0
1,11000,19200,0
1,15400,19200,0
1,17600,19200,0
1,19800,19200,0
1,24200,19200,0
1,26400,19200,0
1,28600,19200,0
1,33000,19200,0
1,35200,19200,0
1,37400,19200,0
1,0,20800,0
1,2200,20800,0
1,4400,20800,0
1,8800,20800,0
1,11000,20800,0
1,13200,20800,0
1,15400,20800,0
1,17600,20800,0
1,19800,20800,0
1,22000,20800,0
1,24200,20800,0
1,26400,20800,0
1,28600,20800,0
1,30800,20800,0
1,33000,20800,0
1,35200,20800,0
1,37400,20800,0
1,0,22400,0
1,2200,22400,0
1,4400,22400,0
1,6600,22400,0
1,8800,22400,0
1,11000,22400,0
1,13200,22400,0
1,15400,22400,0
1,17600,22400,0
1,19800,22400,0
1,22000,22400,0
1,24200,22400,0
1,26400,22400,0
1,30800,22400,0
1,33000,22400,0
1,35200,22400,0
1,37400,22400,0
1,0,24000,0
1,2200,24000,0
1,4400,24000,0
1,6600,24000,0
1,11000,24000,0
1,13200,24000,0
1,15400,24000,0
1,17600,24000,0
1,19800,24000,0
1,22000,24000,0
1,24200,24000,0
1,28600,24000,0
1,30800,24000,0
1,33000,24000,0
1,35200,24000,0
1,37400,24000,0
1,0,25600,0
1,2200,25600,0
1,4400,25600,0
1,6600,25600,0
1,8800,25600,0
1,11000,25600,0
1,15400,25600,0
1,17600,25600,0
