1,2050,850,2750,700,5,1150
2,2300,900,3000,800,6,1600
3,2550,950,3250,900,7,2050
4,2800,1000,3500,600,8,2500
5,3050,800,3750,700,9,2950
6,3300,850,4000,800,10,3400
7,3550,900,2500,900,11,3850
8,3800,950,2750,600,12,4300
9,4050,1000,3000,700,13,4750
10,4300,800,3250,800,14,5200
11,4550,850,3500,900,15,5650
12,4800,900,3750,600,16,6100
13,5050,950,4000,700,17,6550
14,5300,1000,2500,800,18,7000
15,5550,800,2750,900,19,7450
16,5800,850,3000,600,20,7900
17,6050,900,3250,700,21,8350
18,6300,950,3500,800,22,8800
